City,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Adams,"1,886",9,0,6,1,2,67,4,60,3,1
Albany,994,1,0,0,0,1,9,0,8,1,0
Algoma,"3,030",2,0,2,0,0,17,0,17,0,0
Altoona,"7,939",9,0,4,0,5,109,16,90,3,0
Amery,"2,792",8,0,2,1,5,37,4,31,2,0
Appleton,"74,757",206,2,32,23,149,"1,073",107,910,56,10
Arcadia,"3,044",4,0,0,0,4,5,0,5,0,0
Ashland,"7,859",25,0,4,0,21,291,29,240,22,1
Ashwaubenon,"17,311",21,0,9,1,11,477,20,445,12,0
Athens,"1,078",3,0,2,0,1,8,0,8,0,0
Avoca,625,0,0,0,0,0,0,0,0,0,0
Bangor,"1,468",0,0,0,0,0,2,1,1,0,0
Baraboo,"12,151",28,0,15,2,11,345,43,284,18,0
Barneveld,"1,256",1,0,0,0,1,7,0,7,0,0
Barron,"3,306",10,0,2,0,8,25,3,20,2,0
Bayfield,476,1,0,0,0,1,19,6,12,1,0
Bayside,"4,342",3,0,0,0,3,17,3,13,1,0
Beaver Dam,"16,375",27,1,5,0,21,260,27,224,9,2
Belleville,"2,459",2,0,1,0,1,16,0,15,1,0
Beloit,"37,025",154,4,19,31,100,"1,114",122,921,71,11
Beloit Town,"7,707",7,0,2,2,3,126,23,95,8,0
Berlin,"5,401",1,0,0,0,1,68,8,53,7,0
Big Bend,"1,460",0,0,0,0,0,26,3,19,4,0
Birchwood,433,0,0,0,0,0,2,1,1,0,0
Black River Falls,"3,454",5,0,3,1,1,76,2,70,4,0
Blair,"1,345",2,0,1,0,1,3,2,1,0,0
Blanchardville,791,1,0,1,0,0,3,0,2,1,0
Bloomer,"3,499",11,0,2,0,9,29,2,24,3,0
Bloomfield,"6,342",10,0,2,1,7,35,5,30,0,0
Boyceville,"1,130",3,0,2,1,0,14,3,11,0,0
Brandon-Fairwater,"1,212",0,0,0,0,0,0,0,0,0,0
Brillion,"3,100",5,0,3,0,2,14,1,13,0,0
Brodhead,"3,240",0,0,0,0,0,22,1,19,2,0
Brookfield,"38,879",31,0,6,14,11,691,72,604,15,0
Brookfield Township,"6,281",6,0,0,0,6,102,4,93,5,0
Brooklyn,"1,474",1,0,0,0,1,4,0,3,1,0
Brown Deer,"11,869",40,0,4,14,22,451,25,400,26,1
Brownsville,573,0,0,0,0,0,2,0,2,0,0
Burlington,"11,057",6,0,0,0,6,87,5,78,4,0
Butler,"1,807",2,0,0,1,1,65,2,55,8,1
Caledonia,"25,123",21,0,1,0,20,127,22,95,10,0
Campbellsport,"1,969",0,0,0,0,0,13,0,13,0,0
Campbell Township,"4,337",1,0,0,0,1,44,6,34,4,0
Cascade,692,0,0,0,0,0,2,0,2,0,0
Cashton,"1,111",2,0,0,0,2,2,0,2,0,0
Cedarburg,"11,548",2,0,1,0,1,89,6,82,1,0
Chenequa,604,0,0,0,0,0,1,0,1,0,0
Chetek,"2,097",6,0,0,0,6,12,0,10,2,0
Chilton,"3,774",2,0,1,0,1,32,4,27,1,0
Chippewa Falls,"14,237",50,0,8,2,40,180,25,133,22,1
Cleveland,"1,450",0,0,0,0,0,2,0,2,0,0
Clinton,"2,154",6,0,0,2,4,12,1,11,0,0
Colby-Abbotsford,"4,152",2,0,0,0,2,25,2,22,1,0
Colfax,"1,154",2,0,0,0,2,6,0,5,1,0
Columbus,"5,090",10,0,4,0,6,53,6,44,3,0
Cornell,"1,396",0,0,0,0,0,23,2,21,0,0
Cottage Grove,"7,203",3,0,0,0,3,22,0,21,1,0
Crandon,"1,826",3,0,0,0,3,21,2,17,2,0
Cross Plains,"4,346",4,0,1,0,3,23,3,17,3,0
Cuba City,"2,034",0,0,0,0,0,0,0,0,0,0
Cudahy,"18,164",29,0,2,5,22,205,42,137,26,3
Cumberland,"2,099",0,0,0,0,0,0,0,0,0,0
Darlington,"2,324",4,0,2,0,2,18,0,18,0,0
Deforest,"10,766",10,0,1,1,8,97,6,85,6,1
Delafield,"7,610",4,0,2,1,1,108,4,101,3,0
Delavan,"9,889",17,2,2,0,13,212,4,206,2,1
Delavan Town,"5,339",8,1,2,0,5,22,1,20,1,0
De Pere,"25,163",20,1,2,0,17,217,19,194,4,6
Dodgeville,"4,713",6,0,3,1,2,114,13,98,3,0
Durand,"1,810",2,0,2,0,0,6,2,4,0,0
Eagle River,"1,548",2,0,1,0,1,47,0,41,6,0
Eagle Village,"2,112",1,0,1,0,0,12,2,10,0,0
East Troy,"4,327",7,0,0,0,7,25,1,24,0,0
Eau Claire,"69,195",191,0,58,22,111,"1,634",252,"1,317",65,2
Edgar,"1,439",1,0,0,0,1,7,1,6,0,0
Edgerton,"5,646",1,0,0,0,1,56,1,53,2,0
Elkhart Lake,"1,018",0,0,0,0,0,8,0,6,2,0
Elkhorn,"9,989",12,0,5,4,3,95,10,79,6,0
