City,2009_Population,2009_Violent_crime,2009_Murder_and_nonnegligent_manslaughter,2009_Rape,2009_Robbery,2009_Aggravated_assault,2009_Property_crime,2009_Burglary,2009_Larceny_theft,2009_Motor_vehicle_theft,2009_Arson
Montello,1466,3,0,1,0,2,42,12,30,0,0
Mosinee,3962,1,0,0,0,1,112,23,85,4,0
Mount Horeb,6799,1,0,0,1,0,147,12,133,2,1
Mount Pleasant,26985,68,1,4,18,45,695,87,591,17,3
Mukwonago,7341,5,0,1,2,2,184,19,160,5,0
Muskego,23440,10,0,3,5,2,236,60,173,3,1
Neenah,25105,31,0,3,1,27,521,101,410,10,1
Neillsville,2576,1,1,0,0,0,114,31,83,0,0
Neshkoro,438,0,0,0,0,0,11,1,10,0,0
New Berlin,38686,26,0,1,6,19,556,99,447,10,4
New Glarus,2065,0,0,0,0,0,75,5,66,4,0
New Holstein,3150,3,0,0,0,3,83,15,68,0,0
New Lisbon,2553,5,0,0,0,5,8,1,7,0,0
New London,6702,5,0,2,1,2,184,9,174,1,0
New Richmond,8486,1,0,0,1,0,279,35,240,4,1
Niagara,1720,0,0,0,0,0,53,20,32,1,0
North Fond du Lac,5271,5,0,1,0,4,109,9,95,5,0
North Hudson,3869,0,0,0,0,0,24,0,24,0,0
North Prairie,2111,1,0,0,0,1,9,1,7,1,0
Oak Creek,34069,27,0,6,5,16,1122,94,985,43,1
Oconomowoc,14359,9,1,4,1,3,184,23,157,4,0
Oconomowoc Town,8251,3,0,1,1,1,48,17,29,2,0
Oconto,4278,3,0,0,0,3,222,35,180,7,1
Oconto Falls,2582,2,0,0,0,2,79,9,66,4,1
Omro,3446,7,0,0,0,7,16,16,0,0,0
Onalaska,16998,19,0,1,4,14,550,62,482,6,0
Oregon,9594,8,0,2,2,4,184,26,154,4,0
Osceola,2754,10,0,0,0,10,59,5,53,1,0
Oshkosh,63700,250,0,13,42,195,2112,357,1672,83,5
Osseo,1624,3,0,0,1,2,53,3,48,2,0
Oxford,942,0,0,0,0,0,20,5,15,0,0
Park Falls,2210,0,0,0,0,0,34,1,32,1,0
Pepin,912,1,0,1,0,0,27,9,17,1,0
Peshtigo,3200,8,0,0,0,8,43,11,31,1,0
Pewaukee,12631,6,0,0,0,6,114,11,96,7,0
Pewaukee Village,8874,7,0,0,1,6,155,16,139,0,0
Phillips,1377,2,0,0,0,2,62,12,48,2,1
Plainfield,883,0,0,0,0,0,16,7,8,1,0
Platteville,10330,5,0,3,0,2,153,19,126,8,0
Pleasant Prairie,20297,16,0,1,4,11,406,30,369,7,2
